"Just in this past week, wildfires in California and Hurricane Laura in Louisiana have displaced Americans - and severe events like these are on the rise in a changing climate. Our Global Shifts Colloquium next month will explore this critical issue &amp; more: https://t.co/TToiZTr1nk https://t.co/9ErTgkbi8m","{'entities': [(13, 17, 'B-time'), (18, 22, 'I-time'), (24, 33, 'B-trig'), (52, 61, 'B-trig'), (86, 95, 'B-term'), (96, 105, 'B-unit')]}"
"@berniespofforth @thecarolemalone Thank you for publicising the XR protest. Believe me, if we don't address the climate emergency now there will be no history to ruin.

We need to wake up. The coming migrant crisis as people are displaced due to climate change will dwarf what we see now. 

#ExtinctionRebellion","{'entities': [(218, 224, 'B-unit'), (229, 238, 'B-term'), (246, 253, 'B-trig'), (254, 260, 'I-trig')]}"
"@enbycircle We'll have a lot more people that will become climate refugees/displaced as well &amp; I wonder how that will affect our orgs. I already know climate refugees in CA rn sadly. You're right w the disaster relief, it'll definitely provide new challenges but potentially build the mvmnt","{'entities': [(34, 40, 'B-unit'), (66, 74, 'B-unit'), (75, 84, 'B-term')]}"
"The smoke in San Francisco permeates everything. Thinking of all those fighting the fires, and preventing future fires today, and those displaced, hurt or bereft by wholly preventable climate change and pollution. https://t.co/b4CSMAmC3k","{'entities': [(84, 89, 'B-trig'), (136, 145, 'B-term'), (184, 191, 'B-trig'), (192, 198, 'I-trig')]}"
"@marclolshep @BritishAlba @LBCNews Many people think ""global warming , great hot summers bring it on "" Just tell them there will be waves of migrants displaced by climate change and watch them wince","{'entities': [(40, 46, 'B-unit'), (54, 60, 'B-trig'), (61, 68, 'I-trig'), (141, 149, 'B-unit'), (150, 159, 'B-term'), (163, 170, 'B-trig'), (171, 177, 'I-trig')]}"
"@djc547 @GaiaFawkes Where's most of climate change's flooding happening?

Aug 29 EWE:  Niger flooding: At least 45 killed, 226,000 displaced. https://t.co/xSgwKD6LAo","{'entities': [(36, 43, 'B-trig'), (44, 50, 'I-trig'), (93, 101, 'B-trig'), (123, 130, 'B-fig'), (131, 140, 'B-term')]}"
"@luxuehui @GaiaFawkes @GuidoFawkes Notice no one is considering the harm climate change is doing?

Aug 29 EWE:  Niger flooding: At least 45 killed, 226,000 displaced. https://t.co/xSgwKD6LAo","{'entities': [(73, 80, 'B-trig'), (81, 87, 'I-trig'), (118, 126, 'B-trig'), (148, 155, 'B-fig'), (156, 165, 'B-term')]}"
"Q: What does climate gentrification look like? 

A: Since #HurricaneKatrina hit 15 years ago to date - it is estimated that 100,000 Black NOLA residents have been permanently displaced from their homes due to the destruction of affordable housing.

https://t.co/vDWgmjJ9dM","{'entities': [(59, 68, 'B-trig'), (80, 82, 'B-time'), (83, 88, 'I-time'), (89, 92, 'I-time'), (124, 131, 'B-fig'), (143, 152, 'B-unit'), (175, 184, 'B-term')]}"
"FIRES ARE STILL BURNING. PEOPLE ARE STILL DISPLACED. PEOPLE ARE STILL LOSING THEIR HOMES. PEOPLE ARE STILL RISKING THEIR LIVES TO FIGHT FIRES. CLIMATE CHANGE IS REAL. I will keep reporting on these fires until they are contained.
#WalbridgeFire 

2/20 https://t.co/S3uxeQ6QBs","{'entities': [(0, 5, 'B-trig'), (25, 31, 'B-unit'), (42, 51, 'B-term'), (143, 150, 'B-trig'), (151, 157, 'I-trig')]}"
"“Much of this vulnerable other ‘one percent’ will have felt the impact of the pandemic long before the virus arrives”
 
1% of the world’s population is displaced due to violence, climate events, &amp; insecurity. @HardinLang1 lays a path forward amid #COVID19:
https://t.co/1AhFgkCeEI","{'entities': [(120, 122, 'B-fig'), (6, 8, 'I-fig'), (26, 29, 'I-fig'), (130, 135, 'I-fig'), (138, 148, 'I-fig'), (152, 161, 'B-term'), (169, 177, 'B-trig'), (179, 186, 'I-trig')]}"
